id_histology,id_xenium,overlap,size_pix_histology
103936,61942,9,12
103937,61955,31,37
103940,61952,19,19
103944,61960,23,25
103945,61965,10,13
103946,61964,25,25
103947,61967,18,18
103948,61966,24,24
103952,61971,25,25
103954,61970,33,33
103955,61972,22,22
103957,61975,22,22
103960,61990,87,119
103961,61979,25,25
103962,61980,16,16
103968,61992,24,24
103970,61996,35,35
103971,61997,18,22
103972,61991,21,21
103976,61993,11,11
103978,62000,26,26
103979,62004,17,17
103980,61999,23,23
103982,62005,11,11
103984,62016,37,46
103986,62003,19,19
103991,62011,20,20
103993,62010,30,30
103995,62023,17,17
103996,62031,27,29
103999,62032,10,10
104000,62030,23,23
104001,62044,22,24
104005,62037,73,73
104006,62012,20,20
104007,62038,23,23
104008,62053,20,27
104009,62039,21,24
104010,62045,15,15
104011,62051,24,25
104012,62047,29,29
104014,62046,20,20
104015,62048,18,18
104017,62054,18,18
104022,62052,23,23
104023,62061,26,26
104024,62066,30,31
104030,62070,18,18
104034,62079,22,29
104035,62069,17,17
104037,62078,28,28
104039,62077,25,25
104040,62080,20,20
104043,62084,25,33
104044,62085,15,15
104045,62088,50,50
104049,62095,24,24
104054,62101,11,12
104056,62104,25,25
104058,62103,29,29
104059,62105,26,26
104061,62102,21,21
104062,62115,24,24
104064,62122,15,15
104065,62117,15,15
104067,62116,22,22
104068,62121,32,32
104069,62126,23,28
104071,62125,25,25
104072,62129,14,17
104074,62124,21,21
104075,62128,21,22
104077,62123,21,21
104078,62132,21,23
104081,62133,16,16
104085,62141,25,25
104086,62142,20,20
104087,62143,25,25
104092,62158,45,64
104093,62148,23,23
104096,62151,16,16
104101,62159,23,24
104105,62147,17,18
104106,62164,61,61
104109,62168,20,20
104110,62165,23,23
104112,62169,29,29
104115,62171,17,17
104118,62176,19,19
104119,62170,22,22
104120,62172,15,16
104123,62175,17,17
104126,62183,10,10
104128,62184,18,18
104129,62185,16,16
104130,62186,22,22
104134,62187,20,20
104137,62191,17,18
104138,62203,23,43
104140,62198,29,29
104142,62196,26,26
104143,62197,13,13
104146,62199,10,10
104149,62204,19,19
104150,62205,21,22
104151,62206,23,24
104153,62207,20,20
104154,62208,21,21
104155,62211,21,21
104158,62216,18,18
104160,62215,20,20
104162,62221,30,33
104165,62219,14,14
104166,62220,15,15
104167,62230,21,21
104168,62229,21,21
104169,62222,14,15
104170,62232,16,16
104172,62240,14,15
104173,62241,20,20
104175,62231,17,17
104176,62242,23,23
104177,62243,22,22
104180,62245,24,24
104182,62239,24,24
104184,62246,11,11
104188,62251,18,18
104189,62256,17,17
104190,62255,14,14
104191,62252,16,16
104192,62257,25,25
104193,62266,7,7
104194,62263,21,21
104196,62264,18,19
104201,62265,18,18
